cathode_material,cathode_quantity,electrolyte_type,electrolyte_volume,synthesis_temperature,heat_treatment_duration,coating_material,specific_capacity,capacity_retention,coulombic_efficiency,heat_generation
LiCoO₂,50,LiPF₆,100,500,2,None,150,90,98.0,1.5
LiCoO₂,55,LiPF₆,120,520,3,Al₂O₃,145,92,99.0,1.2
LiCoO₂,60,LiPF₆,150,540,4,ZrO₂,140,93,99.5,1.0
LiCoO₂,50,LiTFSI,110,500,3,Al₂O₃,135,91,98.5,1.8
LiCoO₂,55,LiTFSI,120,530,4,None,132,88,97.0,2.0
LiCoO₂,60,LiTFSI,150,550,5,ZrO₂,130,87,96.8,1.6
LiFePO₄,60,LiPF₆,140,580,4,Al₂O₃,140,95,99.2,0.6
LiFePO₄,65,LiPF₆,120,600,3,ZrO₂,138,94,98.9,0.5
LiFePO₄,60,LiPF₆,150,610,5,None,135,93,97.5,0.8
LiFePO₄,70,LiTFSI,140,590,4,Al₂O₃,136,92,98.6,0.7
LiFePO₄,65,LiTFSI,130,600,2,ZrO₂,134,91,98.0,0.9
LiFePO₄,60,LiTFSI,150,630,3,None,130,90,96.7,1.0
Ni-rich_NCM,70,LiPF₆,140,540,3,ZrO₂,180,87,97.2,2.8
Ni-rich_NCM,75,LiPF₆,150,550,4,Al₂O₃,175,89,97.5,2.4
Ni-rich_NCM,80,LiPF₆,160,560,5,None,170,85,96.5,3.0
Ni-rich_NCM,70,LiTFSI,130,580,4,ZrO₂,178,86,97.0,2.6
Ni-rich_NCM,75,LiTFSI,140,590,3,Al₂O₃,174,88,97.3,2.2
Ni-rich_NCM,70,LiTFSI,150,600,5,None,170,84,96.0,3.1
